fracDate Collected,Collector,Kind
1997.7260274,Expedition to Hokkaido 1997,katsura
1914.49863014,"Wilson, E. H.",fir
1919.07945205,"Wilson, E. H.",pine
1997.72876712,Expedition to Hokkaido 1997,yew
1919.49863014,"Wilson, E. H.",pear
,"Brooks, W. P.",katsura
2005.7260274,"Boland, Brownless, Jamieson and McNamara",birch
1997.72876712,Expedition to Hokkaido 1997,yew
2000.5,,
2006.49863014,,maple
,,maple
2006.49863014,,maple
,,maple
2006.49863014,,maple
1919.49863014,"Wilson, E.H.",pear
1919.49863014,"Wilson, E.H.",pear
,,maple
2006.49863014,,maple
2006.49863014,,
2006.49863014,,
2006.49863014,,
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",magnolia
2006.49863014,,
1997.52328767,Expedition to Hokkaido 1997,beech
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",oak
2006.49863014,,
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",oak
2006.49863014,,
2006.49863014,,walnut
1997.49863014,"Coode-Adams, Howick, Kirkham, McNamara",maple
1914.49863014,"Wilson, E.H.",spruce
1914.49863014,"Wilson, E.H.",spruce
2005.72054795,"Boland, Brownless, Jamieson, McNamara",maple
1918.49863014,"Wilson, E. H.",pear
1997.74520548,Expedition to Hokkaido 1997,maple
2005.74794521,"Boland, Brownless, Jamieson, McNamara",pine
1977.59452055,"Spongberg, S.A.; Weaver, R.E.",
,"Sargent, C. S.",
,,fir
1914.49863014,"Wilson, E. H.",spruce
1914.49863014,"Wilson, E. H.",spruce
,"Sargent, C. S.",maple
2007.75068493,"Brownless, Clark, Jamieson, McNamara and Marrocco",katsura
2005.70958904,"Boland, Brownless, Jamieson, McNamara",hornbeam
2005.75068493,"Boland, Brownless, Jamieson, McNamara",hornbeam
2005.75068493,"Boland, Brownless, Jamieson, McNamara",hornbeam
,,katsura
2005.74794521,"Boland, Brownless, Jamieson, McNamara",pine
2005.74794521,"Boland, Brownless, Jamieson, McNamara",pine
2005.74794521,"Boland, Brownless, Jamieson, McNamara",pine
2005.70684932,"Boland, Brownless, Jamieson, McNamara",false-arborvitae
1997.79178082,Hoick & MacNamara,
1997.79178082,Hoick & MacNamara,
1982.7260274,,katsura
1982.7260274,,katsura
1914.49863014,"Wilson, E.H.",maple
1914.49863014,"Wilson, E.H.",maple
,,wingnut
1997.02739726,Expedition to Hokkaido 1997,maple
2007.74246575,"Brownless, Clark, Jamieson, McNamara and Marrocco",maple
,"Creech, Meyer & March",lilac
2007.74246575,"Brownless, Clark, Jamieson, McNamara and Marrocco",maple
,"Sargent, C. S.",maple
,Hara,pine
,"Sargent, C. S.",aralia
,"Sargent, C. S.",birch
,"Sargent, C. S.",maple
1997.75616438,,maackia
1997.02739726,Expedition to Hokkaido 1997,maple
,,beech
,"Sargent, C. S.",oak
1892.94808743,"Sargent, C. S.",crabapple
,"Sargent, C. S.",linden
1987.49863014,"Howick, McNamara, Warner",
,"Sargent, C. S.",maple
,"Sargent, C. S.",maple
,"Sargent, C. S.",maple
,"Sargent, C. S.",maple
,"Sargent, C. S.",maple
2007.74794521,"Brownless, Clark, Jamieson, McNamara and Marrocco",maple
1978.81917808,"Creech, J.L., Meyer, F.G., March, S.G.",ash
1997.75068493,Expedition to Hokkaido 1997,maple
1919.49863014,"Wilson, E. H.",maple
,"Creech, J.L., Meyer, F.G., March, S.G.",oak
1918.49863014,"Wilson, E. H.",pear
2007.77534247,"Brownless, Clark, Jamieson, McNamara and Marrocco",magnolia
1997.75068493,Expedition to Hokkaido 1997,maple
1915.49863014,"Wilson, E. H.",cherry
1997.84657534,"Probst, D.",
2003.21917808,"Johnson, O.",
,"Sargent, C.S. [with Veitch, J.H?]",oak
,"Sargent, C.S. [with Veitch, J.H?]",oak
1997.75616438,,maackia
1914.49863014,"Wilson, E. H.",spruce
,"Sargent, C.S. [with Veitch, J.H?]",oak
1914.49863014,"Wilson, E. H.",spruce
,,
,,spruce
2007.77534247,"Brownless, Clark, Jamieson, McNamara and Marrocco",magnolia
2007.77534247,"Brownless, Clark, Jamieson, McNamara and Marrocco",magnolia
2007.7369863,"Brownless, Clark, Jamieson, McNamara and Marrocco",alder
,,
1919.49863014,"Wilson, E. H.",pear
,"Sargent, C. S.",pine
,"Sargent, C. S.",hornbeam
1989.44109589,,
1919.07945205,"Wilson, E. H.",pine
1919.49863014,"Wilson, E. H.",crabapple
1989.75616438,,yew
1919.07945205,"Wilson, E. H.",pine
,"Yinger, B.",
,"Adachi, Takio",paulownia
1989.44109589,,
,"Sargent, C. S.",pine
,"Creech, Meyer & March",beech
1978.79452055,"Creech, Meyer & March",ash
1979.8739726,,birch
1978.89863014,"Creech, Meyer & March",
1989.8630137,,privet
1997.83561644,"Noma, I.",torreya
1997.83561644,"Noma, I.",torreya
1989.8630137,,privet
,Carter,cypress
,,beech
,,beech
,,beech
1978.79452055,"Creech, Meyer & March",ash
1979.8739726,,birch
1978.84109589,"Creech, Meyer & March",
,"Creech, Meyer and March",fir
,"Creech, Meyer and March",fir
1978.89863014,"Creech, Meyer & March",
1978.89863014,"Creech, Meyer & March",
,"Sargent, C. S.",pine
,"Jack, J. G.",linden
,Dr. Hayao Iwagaki,katsura
1977.70410959,"Spongberg, S.A.; Weaver, R.E.",fir
1977.69041096,"Spongberg, S.A.; Weaver, R.E.",alder
,"Sargent, C. S.",fir
,"Sargent, C. S.",pine
,,
1919.49863014,"Wilson, E. H.",pear
,,cypress
,"Clark, W. S.",lilac
,"Clark, W. S.",lilac
,,
,"Miyabe, K.",
1914.49863014,"Wilson, E. H.",spruce
1914.49863014,"Wilson, E. H.",spruce
1914.49863014,"Wilson, E. H.",spruce
1991.81917808,"Arakawa, K.",alder
,,
1991.81917808,"Arakawa, K.",birch
1919.49863014,"Wilson, E. H.",pear
1977.72328767,"Spongberg, S.A.; Weaver, R.E.",birch
1977.72328767,"Spongberg, S.A.; Weaver, R.E.",birch
1919.49863014,"Wilson, E. H.",pear
1919.49863014,"Wilson, E. H.",pear
1918.49863014,"Wilson, E. H.",pear
,"Jack, J. G.",tree
,,
,"Miyabe, K.",
,"Jack, J. G.",tree
,"Sargent,C.S.",oak
1914.49863014,"Wilson, E. H.",spruce
1914.49863014,"Wilson, E. H.",spruce
1997.7260274,Expedition to Hokkaido 1997,
,"Nicholson, R. and Hay, I.",spruce
1997.7260274,Expedition to Hokkaido 1997,
,,magnolia
,,magnolia
,,magnolia
,"Elwes, H. J.",cryptomeria
,,cryptomeria
,,fir
,,cryptomeria
1892.94808743,"Sargent, C. S.",crabapple
,"Clark, W. S.",katsura
,"Nicholson, R. and Hay, I.",spruce
1919.49863014,"Wilson, E. H.",pear
,,linden
1892.94808743,"Sargent, C. S.",crabapple
,"Sargent, C. S.",pine
,"Sargent, C. S.",oak
1997.7260274,Expedition to Hokkaido 1997,dogwood
1919.49863014,"Wilson, E.H.",linden
1977.72054795,"Spongberg, S.A.; Weaver, R.E.",pine
1919.49863014,"Wilson, E. H.",pear
1977.70684932,"Spongberg, S.A.; Weaver, R.E.",wingnut
1977.70684932,"Spongberg, S.A.; Weaver, R.E.",
1918.49863014,"Wilson, E. H.",pear
1997.7260274,Expedition to Hokkaido 1997,katsura
1997.72876712,Expedition to Hokkaido 1997,yew
2007.73424658,"Brownless, Clark, Jamieson, McNamara and Marrocco",
2007.75068493,"Brownless, Clark, Jamieson, McNamara and Marrocco",
,"Sargent, C. S.",beech
,"Uyeki, H.",fir
,"Uyeki, H.",fir
1997.7260274,Expedition to Hokkaido 1997,katsura
2006.49863014,,
1997.52328767,Expedition to Hokkaido 1997,beech
2006.49863014,,
2006.49863014,,
1918.49863014,"Wilson, E. H.",pear
,,horsechestnut
1997.74520548,Expedition to Hokkaido 1997,maple
1982.7260274,,katsura
1914.49863014,"Wilson, E.H.",maple
,Hara,pine
2003.8739726,,maple
1919.49863014,"Wilson, E. H.",pear
,"Sargent, C. S.",maple
,"Sargent, C. S.",crabapple
,"Sargent, C. S.",crabapple
,"Sargent, C. S.",crabapple
1919.49863014,"Wilson, E. H.",maple
,,tree
,"Jack, J. G.",linden
1892.94808743,"Sargent, C. S.",crabapple
2007.74246575,"Brownless, Clark, Jamieson, McNamara and Marrocco",walnut
1918.49863014,"Wilson, E. H.",pear
,"Adachi, Takio",paulownia
1989.74520548,,
1919.49863014,"Wilson, E. H.",
1989.7890411,,magnolia
,"Yinger, B.",
,,beech
1978.79452055,"Creech, Meyer & March",ash
1979.8739726,,birch
1892.94808743,"Sargent, C. S.",crabapple
1892.94808743,"Sargent, C. S.",crabapple
,,cypress
,,cypress
1976.87431694,,mulberry
,"Clark, W. S.",lilac
,"Jack, J. G.",tree
1914.49863014,"Wilson, E. H.",spruce
1914.49863014,"Wilson, E. H.",spruce
1914.49863014,"Wilson, E. H.",spruce
,,linden
,Hara,cryptomeria
,"Clark, W. S.",katsura
,"Mayr, H.",arborvitae
1997.7369863,Expedition to Hokkaido 1997,ash
1986.70136986,"Nicholson, R. and Hay, I.",spruce
1986.70136986,"Nicholson, R. and Hay, I.",spruce
1986.70136986,"Nicholson, R. and Hay, I.",spruce
