Kind,Count
hemlock,0
pine,28
oak,17
maple,41
spruce,20
fir,17
larch,3
birch,13
hawthorn,0
ash,7
yew,17
beech,10
dogwood,2
linden,12
hickory,0
redwood,0
cypress,4
cedar,0
elm,3
crabapple,10
tree,6
cherry,11
yellow-poplar,0
pear,28
magnolia,11
maidenhair-tree,0
honeylocust,0
willow,0
catalpa,0
arborvitae,3
