Garden Latitude,Garden Longitude,Kind,fracDate Collected,Country
42.29891635,-71.12088352,oak,,
42.29492351,-71.12362768,oak,,
42.29662812,-71.1265878,hemlock,,
42.2965897,-71.12658802,hemlock,,
42.29302587,-71.12995473,cypress,1984.53825137,United States
42.29659543,-71.12670257,hemlock,,
42.2997997,-71.12002282,pine,,
42.29496055,-71.12355207,oak,,
42.2986831,-71.12394757,ironwood,,
42.29643403,-71.12681811,hemlock,,
42.29806471,-71.12457931,yew,,
42.29297692,-71.12988978,cypress,1984.53825137,United States
42.29637331,-71.1266593,hemlock,,
42.29670254,-71.12669086,hemlock,,
42.29912864,-71.12532651,cypress,,
42.30245621,-71.12041947,oak,,Canada
42.29860935,-71.1254099,cypress,,
42.29644203,-71.12674414,hemlock,,
42.29648573,-71.12668104,hemlock,,
42.30190698,-71.1166432,pine,,
42.29808889,-71.12898571,birch,1979.8739726,Japan
42.30657101,-71.12200059,yellow-poplar,,Canada
42.29646096,-71.12665901,hemlock,,
42.29653482,-71.12658835,hemlock,,
42.29637858,-71.12664101,hemlock,,
42.29717353,-71.12637441,hemlock,,
42.30219319,-71.11677948,pear,1918.49863014,Japan
42.29351273,-71.1276222,maackia,,
42.29820874,-71.12651065,pine,,Ukraine
42.29649354,-71.12655163,hemlock,,
42.29782559,-71.1277562,pine,,
42.30635713,-71.12016139,willow,,
42.29641148,-71.12663343,hemlock,,
42.30659614,-71.12180763,magnolia,1978.70136986,Japan
42.29317169,-71.12456359,fir,,
42.29326516,-71.12470836,fir,,
42.29662496,-71.12645845,hemlock,,
42.29663877,-71.12648794,hemlock,,
42.3019676,-71.11659912,pine,,
42.29489846,-71.12321643,oak,,
42.29843517,-71.12564757,birch,,Canada
42.2984634,-71.12561705,birch,,Canada
42.30464203,-71.12025972,willow,,Country Unknown
42.29664837,-71.12652621,hemlock,,
42.29403173,-71.12962813,hawthorn,,United States
42.29660874,-71.12653616,hemlock,,
42.29240705,-71.12724424,larch,,
42.29234488,-71.12721432,larch,,
42.29228506,-71.12706118,larch,,
42.29225507,-71.12710291,larch,,
42.29222009,-71.12700789,larch,,
42.29223046,-71.12694907,larch,,
42.2921977,-71.12686928,larch,,
42.30085949,-71.12421179,birch,,Czech Republic
42.29765137,-71.12322433,oak,,
42.29230733,-71.12706732,larch,,
42.29231257,-71.12701686,larch,,
42.29228479,-71.12698399,larch,,
42.29228366,-71.12691552,larch,,
42.2922228,-71.12691656,larch,,
42.29225105,-71.12675117,larch,,
42.29663164,-71.12643764,hemlock,,
42.30095655,-71.12434793,birch,,Czech Republic
42.29464353,-71.12421042,oak,,
42.29844856,-71.12558757,arborvitae,,
42.2966723,-71.12656352,hemlock,,
42.299551,-71.1281635,fir,1987.76712329,United States
42.29229063,-71.12715801,larch,,
42.29227549,-71.12705084,larch,,
42.29233381,-71.12694245,larch,,
42.29223718,-71.12701085,larch,,
42.29226537,-71.12693706,larch,,
42.29667866,-71.12651494,hemlock,,
42.29740586,-71.12739931,spruce,,
42.29485922,-71.12334423,oak,,
42.30425514,-71.12294198,,,Mexico
42.29672957,-71.12656133,hemlock,,
42.30453644,-71.12041001,willow,,
42.29838474,-71.12537703,cedar,1989.88493151,United States
42.29677628,-71.12657953,hemlock,,
42.2982043,-71.12540962,cedar,1989.88493151,United States
42.29678759,-71.12668296,hemlock,,
42.29483048,-71.12349018,oak,,
42.3040633,-71.12271976,,,
42.29132435,-71.12673325,hornbeam,,Canada
42.29424886,-71.12992346,,,
42.29749666,-71.12187004,sourwood,,United States
42.30406594,-71.12007309,maple,,
42.30453476,-71.1203596,willow,,
42.29748969,-71.12205568,sourwood,,United States
42.29671062,-71.12664276,hemlock,,
42.30182465,-71.11989001,honeylocust,,
42.29134843,-71.12668423,hornbeam,,Canada
42.29676016,-71.12668682,hemlock,,
42.29653077,-71.12719468,fir,,
42.29357917,-71.12462764,hawthorn,,United States
42.30452406,-71.12031575,willow,,
42.29675163,-71.12655006,hemlock,,
42.29676498,-71.1264798,hemlock,,
42.30005039,-71.12416865,oak,,United States
42.30318004,-71.12239792,maple,1919.49863014,Japan
42.29682056,-71.12669756,hemlock,,
42.30306344,-71.12230114,maple,,
42.29911863,-71.12454751,hop-hornbeam,1999.00273973,Austria
42.2933438,-71.12424864,hawthorn,,United States
42.29413623,-71.13004134,,,
42.29681433,-71.12646842,hemlock,,
42.29674041,-71.1265206,hemlock,,
42.29200505,-71.12839856,dogwood,,
42.3020157,-71.1233852,birch,2009.49863014,United States
42.30195534,-71.12337282,birch,2009.49863014,United States
42.2968419,-71.12650892,hemlock,,
42.29699684,-71.12860011,fir,1917.83287671,"Korea, Republic of"
42.29878514,-71.12885062,crabapple,,
42.3013201,-71.12474159,walnut,1991.74794521,United States
42.29669338,-71.1264026,hemlock,,
42.30315266,-71.12236629,maple,1919.49863014,Japan
42.29679823,-71.12657941,hemlock,,
42.30058774,-71.1259085,pignut,,
42.29821203,-71.1263276,pine,,
42.29870325,-71.12507855,cypress,,
42.2960252,-71.13345525,maidenhair-tree,1989.77260274,China
42.29663284,-71.12635121,hemlock,,
42.29675668,-71.12646137,hemlock,,
42.29464254,-71.12871442,hawthorn,,United States
42.29477697,-71.1234104,oak,,
42.29834959,-71.12690932,pine,,
42.2927254,-71.125799,boxelder,1984.75956284,United States
42.303752,-71.1233484,hemlock,,
42.29655023,-71.12626298,hemlock,,
42.29641657,-71.12709663,yew,,
42.30228548,-71.1170875,yew,,
42.29381133,-71.12918816,fir,,United Kingdom
42.29831978,-71.12470359,yew,,
42.2937819,-71.12919968,fir,,United Kingdom
42.29479929,-71.12959529,fir,1986.73972603,Japan
42.29840058,-71.12404513,redcedar,,
