Kind,Count
hemlock,0
pine,2
oak,1
maple,3
spruce,4
fir,9
larch,5
birch,4
hawthorn,0
ash,2
yew,0
beech,0
dogwood,0
linden,0
hickory,0
redwood,0
cypress,0
cedar,0
elm,0
crabapple,0
tree,0
cherry,0
yellow-poplar,0
pear,3
magnolia,0
maidenhair-tree,0
honeylocust,0
willow,1
catalpa,0
arborvitae,0
