Kind,Count
hemlock,1
pine,5
oak,6
maple,3
spruce,13
fir,2
larch,0
birch,5
hawthorn,15
ash,8
yew,0
beech,1
dogwood,1
linden,1
hickory,3
redwood,0
cypress,0
cedar,13
elm,0
crabapple,0
tree,0
cherry,0
yellow-poplar,1
pear,0
magnolia,0
maidenhair-tree,0
honeylocust,0
willow,3
catalpa,0
arborvitae,0
