Kind,Count
hemlock,0
pine,11
oak,6
maple,25
spruce,2
fir,12
larch,0
birch,11
hawthorn,0
ash,13
yew,0
beech,2
dogwood,1
linden,1
hickory,0
redwood,0
cypress,5
cedar,0
elm,5
crabapple,0
tree,16
cherry,0
yellow-poplar,0
pear,2
magnolia,0
maidenhair-tree,4
honeylocust,2
willow,0
catalpa,3
arborvitae,0
