fracDate Collected,Collector,Kind
1996.73497268,"Lewandowski, R. et al.",pine
,"Bretschneider, Dr. E.",pear
1980.73770492,1980 S.A.B.E.,oak
1980.71857923,1980 S.A.B.E.,crabapple
1908.5,"Wilson, E. H.",oak
1908.5,"Wilson, E. H.",oak
1908.5,"Wilson, E. H.",pear
1910.49863014,"Wilson, E. H.",hemlock
,"Del Tredici, P.",maidenhair-tree
,"Del Tredici, P.",maidenhair-tree
,"Del Tredici, P.",maidenhair-tree
1923.77534247,"Hers, J.",oak
1923.77534247,"Hers, J.",oak
,"Hers, J.",larch
1980.68852459,1980 S.A.B.E.,yew
,"Hers, J.",larch
,,larch
,,larch
,,larch
,Mr. Yang Fengchun,
,Mr. Yang Fengchun,
1980.73770492,1980 S.A.B.E.,
1980.71857923,1980 S.A.B.E.,
,,larch
,,larch
2008.7295082,"Bachtell, K.; Aiello, A.; Carley, C.; Wang K.; Li, J.; Li, B.; Genlu, B.",
1980.73770492,1980 S.A.B.E.,glorybower
1980.71857923,1980 S.A.B.E.,
2008.7295082,"Bachtell, K.; Aiello, A.; Carley, C.; Wang K.; Li, J.; Li, B.; Genlu, B.",
1980.69672131,1980 S.A.B.E.,yew
1996.73497268,"Lewandowski, R. et al.",hemlock
1996.73497268,"Lewandowski, R. et al.",hemlock
1994.70410959,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",
,"Purdom, W.",
1993.66849315,"Jin, Tieshan, K. Bachtell, P. Bristol, P. Meyer",poplar
,"Sargent, C. S.",crabapple
,"Meyer, F.N.",chestnut
,,
1996.73497268,"Lewandowski, R. et al.",hemlock
1913.66027397,"Meyer, F. N.",larch
1901.49863014,"Wilson, E. H.",maple
1995.39726027,"Del Tredici, P.",maidenhair-tree
1910.49863014,"Wilson, E. H.",spruce
1910.49863014,"Wilson, E. H.",spruce
1997.49863014,,hemlock
1997.49863014,,hemlock
1997.49863014,,hemlock
1997.49863014,"Cui, Tiecheng & MA, Ya-Kang",hemlock
1997.49863014,"Cui, Tiecheng & MA, Ya-Kang",hemlock
,"Mo, J., Zhang, J.",
,,fir
1996.73497268,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
,"Mo, J., Zhang, J.",
1911.49863014,"Purdom, W.",spruce
1996.73770492,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.73770492,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1997.49863014,,hemlock
1997.49863014,"Cui, Tiecheng & MA, Ya-Kang",hemlock
1997.49863014,"Cui, Tiecheng & MA, Ya-Kang",hemlock
1997.49863014,"Cui, Tiecheng & MA, Ya-Kang",hemlock
1997.49863014,"Cui, Tiecheng & MA, Ya-Kang",hemlock
1997.49863014,"Cui, Tiecheng & MA, Ya-Kang",hemlock
1993.69589041,"Jin, Tieshan, Meyer, Bachtell, Bristol",fir
1996.68579235,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.74043716,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.74043716,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.68579235,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.73497268,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.74043716,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.73497268,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.73497268,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.74043716,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
2008.72404372,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",
2008.72404372,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",
2008.72404372,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",
1909.49863014,"Wilson, E. H.",spruce
1996.73770492,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.73770492,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.73770492,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
,,hemlock
,,hemlock
1996.73497268,"Lewandowski, R. et al.",pine
1996.74043716,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
1996.74043716,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
