Kind,Count
hemlock,145
pine,45
oak,18
maple,39
spruce,87
fir,13
larch,18
birch,12
hawthorn,0
ash,31
yew,5
beech,6
dogwood,5
linden,6
hickory,0
redwood,89
cypress,0
cedar,0
elm,4
crabapple,9
tree,10
cherry,3
yellow-poplar,0
pear,13
magnolia,7
maidenhair-tree,35
honeylocust,1
willow,0
catalpa,9
arborvitae,0
